"sex","marital","date1a","date2a","act87a","act87b","party","race","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart4","date4a","date4b","stud","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","age","zipcode","educ2","inc"
2,6,2,2,NA,2,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,72,20781,8,7
2,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,2,1,3,2,2,1,2,2,61,19606,8,99
2,1,2,NA,NA,2,2,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,61,34470,4,6
2,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,2,8,3,1,2,1,2,2,61,43614,6,5
1,1,2,2,1,NA,4,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,71,19605,3,6
1,6,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,50,44052,3,4
1,3,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,52,13662,6,6
2,3,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,71,84014,5,1
1,1,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,79,35570,5,7
2,6,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,66,50320,6,3
1,1,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,31,65203,6,8
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,50,78259,8,7
1,1,2,2,NA,1,4,1,NA,NA,NA,NA,NA,1,2,3,2,2,1,2,2,44,75203,6,3
2,1,2,2,NA,1,1,1,1,2,1,1,1,2,2,3,2,2,2,2,2,47,36855,5,9
2,5,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,72,92691,8,6
2,1,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,74,97055,4,6
2,1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,36,75428,4,2
1,3,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,66,30338,6,4
1,1,2,2,NA,2,1,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,58,29212,6,9
1,1,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,58,44641,6,6
1,1,2,2,NA,2,2,4,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,55,4106,8,8
1,1,2,NA,NA,8,2,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,73,24019,8,98
2,3,NA,NA,NA,NA,3,1,1,2,2,1,4,1,2,3,NA,NA,NA,NA,NA,58,43968,3,98
1,5,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,88,1606,8,5
1,6,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,22,17545,3,98
2,6,1,1,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,32,4966,3,2
2,1,2,2,NA,1,2,2,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,63,60104,4,6
2,1,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,1,2,2,37,66762,8,7
1,5,NA,NA,NA,NA,2,1,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,96,62040,4,3
1,5,2,NA,NA,2,8,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,74,75556,4,5
1,1,2,NA,1,NA,4,1,NA,NA,NA,NA,NA,1,8,3,1,2,2,2,2,32,65020,6,6
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,65,16601,3,6
2,1,2,2,2,NA,2,1,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,64,33322,8,9
2,1,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,68,38930,8,8
1,3,NA,NA,NA,NA,2,1,2,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,56,49014,3,4
2,1,2,2,NA,1,9,1,NA,NA,NA,NA,NA,8,2,3,2,2,2,2,2,72,54449,6,99
1,5,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,2,2,62,40031,3,6
2,5,1,2,8,NA,2,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,76,84070,6,6
2,4,2,2,NA,1,2,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,51,93922,6,7
1,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,60,92555,8,9
2,1,NA,NA,NA,NA,4,1,2,2,2,2,NA,2,1,3,NA,NA,NA,NA,NA,60,45338,3,5
1,1,NA,NA,NA,NA,3,1,2,2,2,2,NA,8,8,3,NA,NA,NA,NA,NA,99,24380,3,6
1,6,1,1,NA,2,2,2,NA,NA,NA,NA,NA,9,1,3,NA,NA,NA,NA,NA,26,11214,3,3
1,1,1,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,56,48116,3,9
1,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,38,29410,5,7
2,6,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,2,1,2,32,10003,8,9
2,4,2,2,NA,1,3,2,1,2,2,2,NA,1,1,3,1,1,2,1,2,49,61102,2,1
2,1,2,2,NA,1,2,2,NA,NA,NA,NA,NA,2,8,3,1,2,2,2,2,54,10467,6,6
1,6,2,1,NA,1,3,8,NA,NA,NA,NA,NA,1,2,3,1,1,1,1,2,30,10020,6,9
2,1,2,2,1,NA,2,2,NA,NA,NA,NA,NA,1,1,3,2,1,1,2,2,56,48221,8,8
1,2,NA,NA,NA,NA,9,1,2,2,1,1,9,1,1,3,NA,NA,NA,NA,NA,53,36272,2,1
2,1,2,2,NA,1,9,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,49,52639,6,5
1,1,1,1,NA,1,2,9,NA,NA,NA,NA,NA,1,1,3,1,2,1,1,2,53,70809,6,7
2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,62,56031,3,9
1,1,2,2,1,NA,1,1,2,1,1,2,1,2,2,3,2,1,1,2,2,45,77656,3,5
1,1,2,2,NA,2,3,1,2,1,1,2,5,2,2,3,NA,NA,NA,NA,NA,30,74852,5,2
1,1,NA,NA,NA,NA,8,1,2,1,1,1,1,2,1,3,NA,NA,NA,NA,NA,47,99999,2,4
1,3,2,2,1,NA,4,2,NA,NA,NA,NA,NA,2,1,3,2,2,1,2,2,52,75135,6,6
2,6,2,1,1,NA,2,1,NA,NA,NA,NA,NA,1,2,3,2,1,1,2,2,26,75019,3,7
1,1,2,1,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,39,46143,3,99
1,6,2,2,2,NA,3,1,1,2,2,2,NA,8,1,3,NA,NA,NA,NA,NA,50,34116,3,2
1,5,NA,NA,NA,NA,4,2,2,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,65,38521,1,1
1,3,2,2,NA,1,3,1,2,1,8,2,5,2,1,3,2,2,2,2,2,28,24523,3,6
1,2,1,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,2,1,2,1,2,2,40,60046,6,7
1,3,1,1,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,47,60061,8,8
1,1,2,2,NA,2,3,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,55,77423,6,6
1,6,2,1,1,NA,3,2,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,2,38,72331,3,4
1,1,2,2,1,NA,2,1,2,1,1,9,5,2,2,3,2,2,1,2,2,60,45805,7,5
1,1,2,NA,2,NA,3,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,52,45844,4,2
2,6,2,2,1,NA,3,2,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,22,23508,3,9
1,1,1,1,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,33,45240,6,7
1,6,2,2,1,NA,2,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,19,76206,3,3
1,6,2,2,NA,1,4,8,NA,NA,NA,NA,NA,1,2,3,2,2,2,1,2,25,39211,6,6
1,6,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,2,3,1,2,2,2,2,23,36559,6,3
