"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Joao Guilherme",19439,71,135,80,1
"Pedro Silva",19446,72,143,33,1
"Rivaldo",19488,70,54,6,1
"Halisson",19489,70,57,67,1
"Josue",19511,82,151,128,1
"Renan Silva",19512,69,148,13,1
"Cassio",19515,74,365,193,1
"Claudemir",19524,70,53,93,1
"Silva",19531,70,45,23,1
"Neymar",19533,90,141,82,1
"Branko Jelic",19674,62,110,8,1
"Zhi Zheng",19696,73,154,9,1
"Junmin Hao",19908,68,141,7,1
"Takafumi Akahoshi",20118,69,50,78,1
"Hajime Hosogai",20125,76,68,89,1
"Koki Mizuno",20174,78,133,2,1
"Kisho Yano",20196,68,64,2,1
"Takahito Soma",20241,66,145,13,1
"Hulk",20276,85,143,82,1
"Carciano",20323,67,134,4,1
"Marcelo Silva",20325,71,45,22,1
"Rafael Dias",20329,65,62,11,1
"Rafael Santos",20342,70,47,2,1
"Felipe Santana",20396,77,126,80,1
"Dudu",20399,61,125,3,1
"Michel Bastos",20401,84,155,126,3
"Ederson Tormena",20445,66,135,54,1
"Fagner",20446,74,42,24,1
"Marcos Ceara",20482,74,139,94,1
"Mike Havenaar",20645,72,47,85,2
"Shinji Okazaki",20694,78,42,131,2
"Robert Cullen",20720,67,48,41,1
"Eiji Kawashima",20747,74,367,110,2
"Akihiro Ienaga",20771,74,57,4,1
"Michihirio Yasuda",20790,70,45,38,1
"Erik Friberg",21123,66,135,5,1
"Amoreirinha",21161,69,138,32,1
"Thiago Neves",21164,80,104,2,1
"Daniel Dunst",21213,55,51,9,1
"Sebastian Leto",21410,78,152,13,1
"Oscar Trejo",21414,77,153,99,2
"Juca",21445,74,165,15,1
"Hernanes",21446,85,148,144,1
"Marc Bertran",21450,74,145,96,1
"Andre Leone",21458,73,113,22,1
"Mark Burchill",21528,60,111,9,1
"Nikola Kalinic",21613,78,118,54,2
"David Meul",21645,62,321,34,1
"Alexandre Di Gregorio",21657,59,116,8,1
"Ibrahima Conte",21726,73,54,49,1
"Bart Goossens",21744,57,132,1,1
"Mohammed Rabiu",21751,71,130,36,1
"Tim Matthijs",21753,68,60,76,1
"Jop van der Linden",21765,72,53,76,1
"Gregory Lorenzi",21776,66,135,43,2
"Esteban Solari",21785,71,132,2,1
"Michael Klukowski",21812,69,142,30,1
"Rachid Farssi",21834,66,136,93,1
"Chris McCann",21849,73,150,7,1
"Dudley Campbell",21853,76,134,32,1
"Stephen Quinn",21864,71,143,21,1
"Junio Cesar Arcanjo Juninho",21894,68,58,2,1
"Chris Robertson",21914,63,105,21,1
"Raffaele Schiavi",21982,69,141,10,1
"Lee Tomlin",22045,70,57,3,1
"Giuseppe Aquaro",22096,65,80,38,1
"Luigi Beghetto",22103,64,159,4,1
"Paulo Lopes",22125,74,367,34,1
"Hugo Carreira",22126,69,125,2,1
"Tony",22128,68,46,57,1
"Hugo Valdir",22130,61,122,1,1
"Hugo Morais",22131,72,137,75,1
"Rui Borges",22134,65,139,2,1
"Tiago Rosa",22136,57,51,2,1
"Anselmo",22139,69,134,17,1
"Jose Mari",22234,79,126,3,1
"Fabrizio Cacciatore",22283,72,143,73,1
"Simone Farelli",22305,59,297,1,1
"Elkin Soto",22313,76,144,125,1
"Leandro Castan",22337,82,143,72,1
"Benjamin Fischer",22343,46,111,4,1
"Lorenzo Del Prete",22355,70,149,4,1
"Drissa Diarra",22382,64,139,56,1
"Stefano Ferrario",22386,66,130,29,1
"Peterson Pecanha",22418,74,365,56,1
"Tiago Valente",22421,70,49,80,2
"Ricardo Pedrinha 27",22427,70,143,27,1
"Cristiano",22428,74,142,45,1
"Ronny Carlos da Silva",22434,68,44,14,1
"Garry Wood",22444,55,100,11,1
"Rodrigues Saulo",22514,68,127,27,1
"Carlitos",22519,66,135,69,1
"Elson",22535,73,144,17,1
"Radamel Falcao",22543,90,144,147,4
"Wason Renteria",22544,76,70,21,1
"Marcinho",22545,75,113,25,1
"Lorenzo Bucchi",22700,58,288,12,1
"Kostadin Hazurov",22706,65,38,28,1
"Stanislav Manolev",22707,73,146,79,2
"Ivan Ivanov",22714,72,104,11,1
"Janicio Martins",22732,69,134,13,1
"Martin Skrtel",22764,82,132,220,1
"Stilianos Malezas",22785,75,138,21,1
"Aleksander Seliga",22822,67,338,32,1
"Dusan Svento",22824,75,136,14,1
"Marcel Gecov",22831,65,121,21,2
"Lukas Jarolim",22832,71,152,15,1
"Marek Suchy",22834,78,133,79,1
"Dean Hammond",22894,69,128,9,1
"Neil Alexander",22924,73,370,52,1
"Glenn Loovens",22928,73,128,78,2
"Joe Ledley",22929,76,138,151,2
"Isaac Osbourne",22952,66,127,67,1
"Luke Varney",22959,73,125,24,1
"Ben Williams",22962,66,323,74,1
"Billy Jones",22964,72,139,99,1
"Michael Higdon",22969,71,126,175,2
"Ross Turnbull",22978,74,376,28,1
"Philip Chidi Onyemah",22982,64,123,22,1
"Ivan Cordoba",22984,83,128,57,1
"Mark Hudson",22988,72,117,2,1
"Ben Watson",22991,73,144,85,1
"Tom Soares",22994,68,151,14,2
"Julian Speroni",22998,77,379,75,1
"Andrew Davies",23007,69,120,31,1
"Chris Turner",23016,60,133,3,1
"Giles Barnes",23019,74,140,1,1
"Boaz Myhill",23021,77,384,116,1
"Andrew Dawson",23022,72,129,60,1
"Ian Ashbee",23023,73,132,31,1
"Nick Barmby",23025,67,134,19,1
"Matt Duke",23027,64,323,21,1
"Damien Delaney",23030,75,139,97,1
"Craig Fagan",23034,72,151,35,1
"Ryan France",23036,60,112,1,1
"Jimmy Juan",23051,61,134,11,1
"Owen Garvan",23054,68,149,1,1
"Stephen Crainey",23065,73,127,31,1
"Frazer Richardson",23069,69,139,2,1
"Shaun Derry",23070,70,137,38,1
"Richard Cresswell",23072,70,125,12,1
"Matthew Kilgallon",23073,74,142,21,1
"Robbie Blake",23074,76,146,20,1
"Franco Sosa",23075,72,143,40,1
"Rab Douglas",23080,62,310,30,1
"Alan Maybury",23081,66,143,76,1
"Stephen Hughes",23083,68,146,62,1
"Richard Stearman",23091,74,120,67,1
"Tommy Wright",23093,61,117,4,1
"Kevin Foley",23099,70,144,64,1
"Rowan Vine",23104,70,51,32,1
"Dean Brill",23114,66,328,61,1
"Leon Barnett",23115,71,118,29,1
"John Sutton",23117,71,118,180,1
"Jody Morris",23127,67,133,84,1
"Adam Drury",23133,72,125,12,1
"Jason Shackell",23134,75,131,38,1
"Dean Ashton",23139,82,111,4,1
"Paul Gallacher",23141,68,336,116,1
"Jurgen Colin",23144,66,117,24,2
"Joe Lewis",23147,68,337,1,1
"Marc Janko",23148,76,105,60,3
"Frazer Wright",23151,68,128,184,1
"Akos Buzsaky",23163,72,144,10,1
"Matt Derbyshire",23170,77,118,9,1
"Omar Daley",23182,65,137,13,1
"Graham Alexander",23185,72,144,33,1
"Callum Davidson",23186,71,121,46,1
"Youl Mawene",23187,63,57,19,1
"David Nugent",23190,78,127,49,1
"Matthew Hill",23193,64,98,2,1
"Stephen Hunt",23225,77,137,57,1
"Lee Bullen 29",23249,66,126,29,1
"Glenn Whelan",23253,76,145,209,1
"Burton O'Brien",23254,66,146,53,1
"Chris Brunt",23257,75,148,188,1
"Gabriel Agbonlahor",23264,83,129,215,1
"Patrick Kenny 30",23265,80,389,33,1
"Phil Jagielka",23268,82,269,224,1
"Danny Webber",23271,81,116,4,1
"Michael Tonge",23275,74,145,1,1
"Nicky Shorey",23282,77,152,94,1
"Steve Sidwell",23283,78,152,111,1
"Ibrahima Sonko",23284,75,129,16,1
"Glen Little",23285,74,145,4,1
"Leroy Lita",23286,80,115,4,1
"Dave Kitson",23288,76,118,20,1
"Kevin Doyle",23291,79,152,84,1
"Shane Long",23293,76,120,114,1
"Brett Ormerod",23299,71,94,6,1
"Djamel Belmadi",23304,68,150,11,1
"Nathan Dyer",23305,76,122,96,1
"Steve Simonsen",23307,71,360,13,2
"Michael Duberry",23310,75,112,49,1
"Clint Hill",23311,72,110,65,1
"Mamady Sidibe",23314,70,112,36,1
"David Templeton",23317,74,111,57,1
"Seyi Olofinjana",23333,74,159,25,1
"Jody Craddock",23334,73,127,48,1
"Jackie McNamara",23335,73,151,42,1
"Clarke Carlisle",23349,74,125,27,1
"Marlon King",23352,76,97,28,1
"Ashley Young",23354,85,172,190,1
"Hameur Bouazza",23355,74,131,3,1
"Adrian Mariappa",23358,73,119,63,1
"Andy Wilkinson",23369,74,122,103,1
"Martin Paterson",23370,75,105,17,1
"Carl Dickinson",23371,65,132,3,1
"Garry Monk",23377,70,130,24,1
"Lewis Guy",23412,61,95,17,1
"Paul Heffernan",23415,68,98,69,1
"Greg Halford",23425,68,161,12,1
"Wayne Brown",23426,68,131,1,1
"Chris Iwelumo",23431,73,117,2,1
"George Elokobi",23435,70,153,43,1
"Richard Garcia",23438,68,132,27,1
"Steve Banks",23445,67,335,6,1
"Jack Ross",23446,66,131,66,1
"Paul Rachubka",23453,68,335,1,1
"Pawel Abbott",23463,67,128,9,1
"Gary Taylor-Fletcher",23464,74,118,29,1
"Aaron Wilbraham",23499,67,163,3,1
"Michael Nelson",23507,65,118,68,1
"Jon Daly",23512,73,106,120,1
"Andrew Crofts",23528,70,142,13,1
"Matt Jarvis",23538,77,137,164,1
"Caleb Folan",23563,71,108,9,1
"Wes Morgan",23571,78,104,75,1
